mean,var,mu,sigma
1e-10,0.0033867735793587177,-43.20776308123596,6.353253048839705
1e-10,0.0033967936192384773,-43.20924018714113,6.353485540583321
1e-10,0.0034068136591182364,-43.21071294221271,6.353717339049991
1e-10,0.003416833698997996,-43.21218137200633,6.353948448337595
1e-10,0.0034268537388777555,-43.21364550185308,6.35417887250786
1e-10,0.003436873778757515,-43.21510535686221,6.354408615586781
1e-10,0.0034468938186372746,-43.21656096192365,6.354637681565046
1e-10,0.003456913858517034,-43.21801234171058,6.354866074398441
1e-10,0.0034669338983967938,-43.219459520681966,6.355093798008257
1e-10,0.0034769539382765533,-43.22090252308497,6.355320856281689
1e-10,0.003486973978156313,-43.22234137295746,6.355547253072232
1e-10,0.0034969940180360724,-43.22377609413034,6.355772992200065
1e-10,0.003507014057915832,-43.22520671023001,6.355998077452439
1e-10,0.003517034097795591,-43.22663324468059,6.356222512584048
1e-10,0.0035270541376753507,-43.22805572070632,6.356446301317406
1e-10,0.0035370741775551102,-43.22947416133376,6.356669447343208
1e-10,0.00354709421743487,-43.23088858939407,6.356891954320698
1e-10,0.0035571142573146293,-43.23229902752519,6.357113825878018
1e-10,0.003567134297194389,-43.233705498174004,6.357335065612563
1e-10,0.0035771543370741485,-43.23510802359854,6.357555677091328
1e-10,0.003587174376953908,-43.236506625870035,6.357775663851246
1e-10,0.0035971944168336676,-43.237901326875,6.357995029399526
1e-10,0.003607214456713427,-43.239292148317325,6.358213777213986
1e-10,0.0036172344965931867,-43.24067911172029,6.358431910743376
1e-10,0.003627254536472946,-43.24206223842855,6.3586494334077095
1e-10,0.0036372745763527054,-43.24344154961012,6.358866348598571
1e-10,0.003647294616232465,-43.2448170662583,6.359082659679435
